variant,contrast,dataset,case_label,control_label,module,test,n_case,n_control,mean_case,mean_control,delta_case_minus_control,ci95_low,ci95_high,p_value,effect_size_cohen_d,direction,supports_ama_attenuation_direction,fdr_within_all_module_tests
original_disjoint_no_mesenchymal,GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,HLHS ventricle,healthy right ventricle,AMA,welch_t,6,5,0.564668019052687,-4.4408920985006264e-17,0.564668019052687,-0.32149213634095775,1.4508281744463318,0.17169896847819932,0.9803318408700292,higher_in_case,True,0.28917721006854624
original_disjoint_no_mesenchymal,GSE23959_HLHS_ventricle_vs_all_healthy_ventricles_sensitivity,GSE23959,HLHS ventricle,all healthy ventricles,AMA,welch_t,6,10,0.3364139641784569,-6.661338147750939e-17,0.336413964178457,-0.2873502436776351,0.960178172034549,0.2663153972224157,0.5095960678417882,higher_in_case,True,0.38736785050533196
core_ecm_disjoint_full_endmt,GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF right ventricle,healthy right ventricle,AMA,welch_t,22,4,0.8388921778124526,5.551115123125783e-16,0.8388921778124521,-0.5564053685149999,2.2341897241399042,0.20980622992442727,0.4345616489821616,higher_in_case,True,0.3949293739753925
core_ecm_disjoint_full_endmt,GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF right ventricle,all healthy ventricles,AMA,welch_t,22,8,1.0003999319719463,1.6375789613221059e-15,1.0003999319719448,-0.1971029168787306,2.19790278082262,0.09808920528140345,0.48093709744263635,higher_in_case,True,0.2764025805241899
core_ecm_disjoint_full_endmt,GSE217772_TOF_RV_vs_healthy_RV,GSE217772,TOF right ventricle,healthy right ventricle,AMA,welch_t,5,5,1.5389556721956104,3.3306690738754695e-17,1.5389556721956104,0.020815178982091842,3.0570961654091287,0.047643655488054985,1.502149307919195,higher_in_case,True,0.2540994959362933
core_ecm_disjoint_full_endmt,GSE132176_TOF_PRE_CPB_vs_ASD_PRE_CPB,GSE132176,TOF pre-CPB right atrium,ASD pre-CPB right atrium,AMA,welch_t,10,10,-0.9866133856760049,-4.2188474935755947e-16,-0.9866133856760044,-1.7639418960192486,-0.2092848753327602,0.015728039047015543,-1.192525023164436,lower_in_case,False,0.16046693892568276
core_ecm_disjoint_full_endmt,GSE132176_TOF_POST_vs_PRE_CPB_paired,GSE132176,TOF post-CPB,TOF pre-CPB,AMA,paired_t,10,10,-0.18613302459935116,2.6645352591003756e-16,-0.18613302459935138,-0.5388296129065848,0.16656356370788206,0.2630585684088749,-0.37752433391945805,lower_in_case,False,0.44304600995178933
core_ecm_disjoint_full_endmt,GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ASD post-CPB,ASD pre-CPB,AMA,paired_t,10,10,-0.14989251351900218,-4.2188474935755947e-16,-0.14989251351900182,-0.8865717234144496,0.586786696376446,0.6562319996010647,-0.14555405291583723,lower_in_case,False,0.7221143893999646
core_ecm_disjoint_full_endmt,GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,HLHS ventricle,healthy right ventricle,AMA,welch_t,6,5,0.4058094159763992,9.547918011776346e-16,0.40580941597639825,-0.6785370982457442,1.4901559301985408,0.40069353798277096,0.5690619526851863,higher_in_case,True,0.5574866615412466
core_ecm_disjoint_full_endmt,GSE23959_HLHS_ventricle_vs_all_healthy_ventricles_sensitivity,GSE23959,HLHS ventricle,all healthy ventricles,AMA,welch_t,6,10,0.2575851374671448,-3.3861802251067273e-16,0.2575851374671451,-0.47910489233652925,0.9942751672708194,0.4654441557371294,0.3462492665517474,higher_in_case,True,0.6205922076495058
