contrast,dataset,sample,role,module,raw_module_score,z_vs_control
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-08,case,arterial_maturation,7.667685837595762,-0.9886391498341796
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-09,case,arterial_maturation,7.6534571323496055,-1.0154992751043157
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-13,case,arterial_maturation,8.182837780445725,-0.016165163008041845
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-14,case,arterial_maturation,7.636798638539284,-1.0469462144298647
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-15,case,arterial_maturation,7.481268573620654,-1.3405468586708578
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-01,case,arterial_maturation,8.10250773794885,-0.167807562445913
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-03,case,arterial_maturation,8.048339528848782,-0.27006316876538067
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-06,case,arterial_maturation,7.507864676610375,-1.2903402765790464
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-10,case,arterial_maturation,7.5967167731522975,-1.1226104373320853
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-02,case,arterial_maturation,8.927344214758522,1.3892709426745586
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-11,case,arterial_maturation,6.757784269652932,-2.7062986048319653
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-12,case,arterial_maturation,8.238140873222518,0.08823281095461684
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-21,case,arterial_maturation,8.11764839294918,-0.1392259112734968
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-16,case,arterial_maturation,8.852142271175222,1.2473090712139945
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-17,case,arterial_maturation,7.896327300374273,-0.557023045210971
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-20,case,arterial_maturation,7.495681005718865,-1.3133399044956118
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-22,case,arterial_maturation,7.99703034835329,-0.3669216665538002
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-03,control,arterial_maturation,9.170845779902661,1.8489390874632374
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-05,control,arterial_maturation,8.043271749409355,-0.2796298291346508
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-06,control,arterial_maturation,7.950040762236816,-0.4556258843758148
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-07,control,arterial_maturation,7.703423111574745,-0.9211763948412098
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-01,control,arterial_maturation,7.811019138916012,-0.7180628491631134
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-02,control,arterial_maturation,7.7056001801770275,-0.9170666508857797
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-04,control,arterial_maturation,8.65714884312631,0.879211776791387
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-08,control,arterial_maturation,8.489858491173257,0.5634107441459274
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-04,case,ecm_integrin,11.063876381289157,0.2128807564105664
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-05,case,ecm_integrin,10.474955246428188,-0.9739092566731973
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-18,case,ecm_integrin,7.901245530709917,-6.160432216003194
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-19,case,ecm_integrin,8.613237694996988,-4.725630270630202
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-07,case,ecm_integrin,12.729992450545472,3.570426944829449
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-08,case,ecm_integrin,11.04107249044629,0.1669265049671085
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-09,case,ecm_integrin,12.125155223584324,2.3515629272080947
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-13,case,ecm_integrin,11.77852779981741,1.6530416135102197
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-14,case,ecm_integrin,10.368984393066293,-1.1874610261771905
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-15,case,ecm_integrin,10.818836634465342,-0.28092173618928173
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-01,case,ecm_integrin,10.627263337901523,-0.6669789884717083
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-03,case,ecm_integrin,11.814183338783257,1.7248944220628917
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-06,case,ecm_integrin,10.889975541574096,-0.13756307659847966
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-10,case,ecm_integrin,12.0267359949101,2.1532291423057224
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-02,case,ecm_integrin,12.021727224340017,2.143135500664206
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-11,case,ecm_integrin,9.605777305004024,-2.7254709504446777
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-12,case,ecm_integrin,11.41627478464111,0.9230317103638407
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-21,case,ecm_integrin,10.834590648942845,-0.2491743494151741
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-16,case,ecm_integrin,11.411851245862342,0.9141174239944606
