subset,method,pair,sensitivity,n_chd,n_donor,difference_mean_fisher_z_chd_minus_donor,difference_on_correlation_scale,mean_fisher_z_chd,mean_fisher_z_donor,mean_correlation_chd,mean_correlation_donor,exact_p_two_sided,exact_p_lower_in_chd,n_label_permutations,fdr_q_three_pairs
all_endothelial_structural_balanced,spearman,Arterial–plasticity transcripts,high_contamination_excluded,3,4,-0.017793993717310476,-0.017755645250287874,0.0372766075222584,0.055070601239568875,0.03725935126651616,0.055014996516804034,0.6571428571428571,0.37142857142857144,35,0.6857142857142856
all_endothelial_structural_balanced,spearman,Matrix–plasticity transcripts,all_structural_individuals,6,4,0.05875308329847467,0.05870609209654263,0.05202630918149542,-0.0067267741169792505,0.05197941943875975,-0.0067266726577828815,0.16666666666666666,0.919047619047619,210,0.5
all_endothelial_structural_balanced,spearman,Matrix–plasticity transcripts,high_contamination_excluded,3,4,0.04894651278511821,0.0489213435486381,0.04221973866813896,-0.0067267741169792505,0.04219467089085522,-0.0067266726577828815,0.2857142857142857,0.8571428571428571,35,0.6857142857142856
all_endothelial_structural_balanced,spearman,Mean three-pair coupling,all_structural_individuals,6,4,0.022076829473654313,0.022075459416978364,0.015669701431813596,-0.006407128041840717,0.01566841904732125,-0.006407040369657114,0.15714285714285714,0.9285714285714286,210,
all_endothelial_structural_balanced,spearman,Mean three-pair coupling,high_contamination_excluded,3,4,0.01853252495742686,0.018531843073683132,0.012125396915586145,-0.006407128041840717,0.012124802704026017,-0.006407040369657114,0.2571428571428571,0.8857142857142857,35,
blood_endothelial,pearson,Arterial–matrix,all_structural_individuals,6,4,0.03356907077409055,0.03342459093130902,-0.04820393345358037,-0.08177300422767092,-0.048166632260934636,-0.08159122319224366,0.5523809523809524,0.7285714285714285,210,0.5523809523809524
blood_endothelial,pearson,Arterial–matrix,high_contamination_excluded,3,4,0.016730026170856296,0.016639813552261074,-0.06504297805681462,-0.08177300422767092,-0.06495140963998258,-0.08159122319224366,0.7428571428571429,0.6857142857142857,35,0.8857142857142857
blood_endothelial,pearson,Arterial–plasticity transcripts,all_structural_individuals,6,4,0.025762467571731507,0.025692071160401626,0.06467500315882736,0.038912535587095856,0.06458497837105653,0.03889290721065491,0.4666666666666667,0.7714285714285715,210,0.5523809523809524
blood_endothelial,pearson,Arterial–plasticity transcripts,high_contamination_excluded,3,4,0.0035930648580403055,0.003587113062064204,0.04250560044513616,0.038912535587095856,0.04248002027271911,0.03889290721065491,0.8857142857142857,0.5714285714285714,35,0.8857142857142857
blood_endothelial,pearson,Matrix–plasticity transcripts,all_structural_individuals,6,4,0.07281698545940693,0.07277734193587221,0.046556913987146925,-0.026260071472259998,0.04652330503847327,-0.026254036897398938,0.1,0.9571428571428572,210,0.30000000000000004
