contrast,dataset,sample,role,module,raw_module_score,z_vs_control
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-15,case,tgfb_plasticity_core,7.1552648620158195,0.30164043475644003
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-01,case,tgfb_plasticity_core,7.157114949768414,0.30625925478752886
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-03,case,tgfb_plasticity_core,7.0654547563003165,0.07742581861663347
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-06,case,tgfb_plasticity_core,7.2038255339448565,0.42287414592198247
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-10,case,tgfb_plasticity_core,7.560320443130567,1.312878322869205
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-02,case,tgfb_plasticity_core,7.913050197306132,2.193482635752344
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-11,case,tgfb_plasticity_core,6.645574457517495,-0.9708225857943491
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-12,case,tgfb_plasticity_core,7.367637116039637,0.8318364860286087
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-21,case,tgfb_plasticity_core,6.883192126106104,-0.37760032059180226
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-16,case,tgfb_plasticity_core,7.04808273646616,0.03405585787939609
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-17,case,tgfb_plasticity_core,7.065476336490526,0.0774796944474834
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-20,case,tgfb_plasticity_core,7.2833287782942415,0.6213572595053745
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-22,case,tgfb_plasticity_core,6.927105362805685,-0.26796912228052644
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-06,control,tgfb_plasticity_core,6.523178226165059,-1.2763898024345162
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-02,control,tgfb_plasticity_core,7.0495002643685725,0.03759477448543689
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-04,control,tgfb_plasticity_core,7.062765953742184,0.07071311263945497
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-08,control,tgfb_plasticity_core,7.502321634248089,1.1680819153096267
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-04,case,AMA,0.06363383598386532,0.06363383598386532
