dataset,probe_id,gene_symbol
GSE23959,2908200,VEGFA
GSE23959,2908203,VEGFA
GSE23959,2908204,VEGFA
GSE23959,2908205,VEGFA
GSE23959,2924495,HEY2
GSE23959,2924496,HEY2
GSE23959,2924497,HEY2
GSE23959,2924498,HEY2
GSE23959,2924502,HEY2
GSE23959,2924503,HEY2
GSE23959,2924504,HEY2
GSE23959,2924505,HEY2
GSE23959,2970088,LAMA4
GSE23959,2970089,LAMA4
GSE23959,2970090,LAMA4
GSE23959,2970091,LAMA4
GSE23959,2970094,LAMA4
GSE23959,2970095,LAMA4
GSE23959,2970098,LAMA4
GSE23959,2970100,LAMA4
GSE23959,2970103,LAMA4
GSE23959,2970104,LAMA4
GSE23959,2970106,LAMA4
GSE23959,2970107,LAMA4
GSE23959,2970108,LAMA4
GSE23959,2970109,LAMA4
GSE23959,2970112,LAMA4
GSE23959,2970114,LAMA4
GSE23959,2970115,LAMA4
GSE23959,2970116,LAMA4
GSE23959,2970117,LAMA4
GSE23959,2970119,LAMA4
GSE23959,2970120,LAMA4
GSE23959,2970121,LAMA4
GSE23959,2970123,LAMA4
GSE23959,2970124,LAMA4
GSE23959,2970125,LAMA4
GSE23959,2970128,LAMA4
GSE23959,2970130,LAMA4
GSE23959,2970133,LAMA4
GSE23959,2970134,LAMA4
GSE23959,2970135,LAMA4
GSE23959,2970138,LAMA4
GSE23959,2970144,LAMA4
GSE23959,2970147,LAMA4
GSE23959,2970148,LAMA4
GSE23959,2970159,LAMA4
GSE23959,2970160,LAMA4
GSE23959,2970163,LAMA4
GSE23959,2970165,LAMA4
GSE23959,2970166,LAMA4
GSE23959,2970172,LAMA4
GSE23959,2970174,LAMA4
GSE23959,2970178,LAMA4
GSE23959,2970184,LAMA4
GSE23959,2970198,LAMA4
GSE23959,2970199,LAMA4
GSE23959,2970200,LAMA4
GSE23959,2970201,LAMA4
GSE23959,2970203,LAMA4
GSE23959,2970204,LAMA4
GSE23959,2992592,IL6
GSE23959,2992594,IL6
GSE23959,2992597,IL6
GSE23959,2992601,IL6
GSE23959,2992602,IL6
GSE23959,3013077,COL1A2
GSE23959,3013078,COL1A2
GSE23959,3013079,COL1A2
GSE23959,3013083,COL1A2
GSE23959,3013084,COL1A2
GSE23959,3013086,COL1A2
GSE23959,3013091,COL1A2
GSE23959,3013093,COL1A2
GSE23959,3013098,COL1A2
GSE23959,3013102,COL1A2
GSE23959,3013103,COL1A2
GSE23959,3013105,COL1A2
GSE23959,3013106,COL1A2
GSE23959,3013107,COL1A2
GSE23959,3013108,COL1A2
GSE23959,3013109,COL1A2
GSE23959,3013110,COL1A2
GSE23959,3013111,COL1A2
GSE23959,3013113,COL1A2
GSE23959,3013114,COL1A2
GSE23959,3013115,COL1A2
GSE23959,3013116,COL1A2
GSE23959,3013118,COL1A2
GSE23959,3013119,COL1A2
GSE23959,3013120,COL1A2
GSE23959,3013125,COL1A2
GSE23959,3013128,COL1A2
GSE23959,3013129,COL1A2
GSE23959,3013132,COL1A2
GSE23959,3013135,COL1A2
GSE23959,3013137,COL1A2
GSE23959,3013139,COL1A2
GSE23959,3013141,COL1A2
GSE23959,3013142,COL1A2
GSE23959,3013143,COL1A2
GSE23959,3013146,COL1A2
GSE23959,3013148,COL1A2
GSE23959,3013151,COL1A2
GSE23959,3013153,COL1A2
GSE23959,3013155,COL1A2
GSE23959,3013156,COL1A2
GSE23959,3013157,COL1A2
GSE23959,3013158,COL1A2
GSE23959,3013160,COL1A2
GSE23959,3013161,COL1A2
GSE23959,3013162,COL1A2
GSE23959,3013163,COL1A2
GSE23959,3020303,CAV1
GSE23959,3020304,CAV1
GSE23959,3020310,CAV1
GSE23959,3020320,CAV1
GSE23959,3020321,CAV1
GSE23959,3020322,CAV1
GSE23959,3031714,NOS3
GSE23959,3031716,NOS3
GSE23959,3031717,NOS3
GSE23959,3031720,NOS3
GSE23959,3031722,NOS3
GSE23959,3031723,NOS3
GSE23959,3031724,NOS3
GSE23959,3031725,NOS3
GSE23959,3031726,NOS3
GSE23959,3031727,NOS3
GSE23959,3031728,NOS3
GSE23959,3031730,NOS3
GSE23959,3031731,NOS3
GSE23959,3031732,NOS3
GSE23959,3031736,NOS3
GSE23959,3031737,NOS3
GSE23959,3031738,NOS3
GSE23959,3031740,NOS3
GSE23959,3031741,NOS3
GSE23959,3031742,NOS3
GSE23959,3031743,NOS3
GSE23959,3031744,NOS3
GSE23959,3031746,NOS3
GSE23959,3031747,NOS3
GSE23959,3031748,NOS3
GSE23959,3031750,NOS3
GSE23959,3031751,NOS3
GSE23959,3031752,NOS3
GSE23959,3041245,IL6
GSE23959,3041246,IL6
GSE23959,3041247,IL6
GSE23959,3041248,IL6
GSE23959,3098550,SOX17
