contrast,dataset,sample,disease,arterial_maturation,endothelial_matrix_core,tgfb_plasticity_transcript,AMA,endothelial_abundance,fibroblast,cardiomyocyte,immune,mural_pericyte
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-01,1.0,-0.2194958431260576,-0.9880897656289055,0.30625925478752886,0.3004421179891447,-0.39689455908952825,-0.7414696489791521,0.1635954740418083,-1.244258424523163,-5.733481444836369
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-03,1.0,-0.3406285183540878,1.0935172056497005,0.07742581861663347,-0.2767715019707487,0.4360972671936186,0.9263267214383845,1.122355616586152,-2.9069931999199587,-2.2000295490154382
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-06,1.0,-1.5492556048462405,-1.184733185492939,0.42287414592198247,0.7703715481390656,-0.6717555336015999,0.444844849885049,1.0031941292711697,-0.9165628268971648,-5.545491812240275
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-10,1.0,-1.350561715338847,0.8899419391781201,1.312878322869205,-0.2840861822361594,-0.06427400995727225,1.9333292080598452,-0.09692675549646398,-2.350908983733141,0.7591510815284316
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-02,1.0,1.6250297692500366,0.8319926862432995,2.193482635752344,-1.5501683637485602,0.4046093818370156,2.3403115153040654,0.4437961055231255,-1.711087688618705,2.2150660015482604
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-11,1.0,-3.2266093117601207,-2.9982963754633243,-0.9708225857943491,2.3985760910059315,-1.482278514463308,-2.3296563215802095,0.33427932124921045,-0.7420058294836728,-15.138805237204549
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-12,1.0,0.08381129584384053,0.2725000290143373,0.8318364860286087,-0.3960492702955955,0.023226818478044826,0.8065752450648882,1.2951935608932497,-1.9760924527841808,-3.7993607184910343
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-21,1.0,-0.18563782796615916,-0.6758811505390714,-0.37760032059180226,0.4130397663656776,-0.25479956294505374,-0.7223415484359731,2.6820990018094837,-4.157223589682471,-7.566664136636413
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-16,1.0,1.4568607867428933,0.31503150134680374,0.03405585787939609,-0.601982715323031,0.6435572586794439,0.6398456896954262,0.5683358770732989,-2.4951572028072113,-1.5520071275944898
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-17,1.0,-0.6805631074499783,0.6564550469925342,0.0774796944474834,-0.017790544663346442,0.5151055825247862,0.7485092861046365,1.480986819932716,-1.906778794869141,-3.9144622853190554
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-20,1.0,-1.576501117919419,-1.1492383535661905,0.6213572595053745,0.7014607373267451,-0.5656006772578591,0.20491195791822,0.8797977093989986,-0.8172208514093594,-6.934973705372453
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-22,1.0,-0.4553677427152836,-0.7291880497727543,-0.26796912228052644,0.48417497158952144,0.10155348279617911,-0.19057445041402857,0.8320429980875842,-3.1493092282000266,-6.446767766702708
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-06,0.0,-0.5604473524847569,-1.2400692132601376,-1.2763898024345162,1.0256354560598036,-1.4789219406806522,-1.29511010376772,-0.10574409846127952,-0.6291372688573983,-0.9981836210055081
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-02,0.0,-1.1070731710437474,-0.042256294289526694,0.03759477448543689,0.3705782302826124,0.26081312238997384,-0.10084657454451568,1.4263102736448965,-0.9861563926577802,-0.49107590629102676
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-04,0.0,1.0208102695878112,0.07624532694987735,0.07071311263945497,-0.3892562363923811,0.6469480891184499,0.286777497924526,-0.8633959594341308,0.40323672969105007,0.17299747659875545
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-08,0.0,0.646710253940687,1.2060801805997836,1.1680819153096267,-1.0069574499500324,0.5711607291722284,1.1091791803877096,-0.4571702157495044,1.2120569318241268,1.3162620506978242
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,treat1,1.0,-2.040678508174249,-1.8484372533383122,-4.684242619490553,2.857786127001038,-1.411188785268785,-2.5151304190078076,1.9735266155351103,0.24547753806962938,-1.8031281811100208
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,treat3,1.0,-0.967654456086182,1.3153530259402608,0.6029825850675593,-0.31689371830721275,0.6979060778334346,-0.6961363418306494,0.38734184849683284,3.165373215839155,-0.5767855715823499
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,treat2,1.0,-1.3926503429958417,-1.9196093761597572,-4.025787593783922,2.4460157709798405,-1.133844690754056,-3.166599636100994,1.9514997245431798,-0.3764049333197874,-1.882306170791202
