contrast,dataset,gene,gene_set,present,test,n_case,n_control,mean_case,mean_control,delta_case_minus_control,ci95_low,ci95_high,p_value,effect_size_cohen_d,fdr_within_contrast
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,CCL2,hypoxia_inflammation,True,paired_t,10,10,7.447994999999999,5.0507557,2.3972393,1.7032341062120717,3.091244493787928,2.6699292515619575e-05,2.47099258603432,0.001815551891062131
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,CDH5,endothelial_identity,True,paired_t,10,10,6.784509099999999,6.852079499999999,-0.06757040000000014,-0.4267724959944208,0.2916316959944205,0.6804377989089242,-0.13456756744523868,0.7984121583983063
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,COL1A1,ecm_integrin,True,paired_t,10,10,7.14054514,7.481506639999999,-0.34096150000000014,-0.7424308655618663,0.06050786556186599,0.08688738012050208,-0.6075411590963113,0.22724391723823623
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,COL1A2,ecm_integrin,True,paired_t,10,10,8.624148600000002,9.259661333333334,-0.6355127333333331,-1.139383023947818,-0.1316424427188484,0.018990613527471143,-0.9022528835107,0.06456808599340189
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,COL3A1,ecm_integrin,True,paired_t,10,10,8.816892149999997,9.756255825,-0.9393636750000003,-1.42992401484943,-0.44880333515057047,0.0019002148194727968,-1.3698218904844357,0.016151825965518774
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,COL4A1,ecm_integrin,True,paired_t,10,10,8.2965176,8.3546143,-0.0580967000000002,-0.380136913300247,0.26394351330024657,0.6927399609632363,-0.12905181975009644,0.7984121583983063
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,COL4A2,ecm_integrin,True,paired_t,10,10,7.4259191,7.5605496,-0.13463050000000001,-0.45192644668652504,0.18266544668652498,0.36220759946779,-0.3035300606106786,0.6007345552148712
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,CXCL8,hypoxia_inflammation,False,,10,10,,,,,,,,1.0
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,DCN,ecm_integrin,True,paired_t,10,10,9.059496,9.33720048,-0.27770448000000003,-0.5228696789370042,-0.03253928106299589,0.030566563126560316,-0.8103018635937722,0.09897744250505246
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,DLL4,arterial_maturation,True,paired_t,10,10,3.8549645,3.6058087999999997,0.24915570000000004,0.05405971466783263,0.4442516853321674,0.017913865798170482,0.9135772340650402,0.06456808599340189
